OID_,LandV_Num,Area,Site,LA_Year
0,104108,0.224472011,Site38,1991
1,296876,0.414018103,Site38,2013
2,275000,0.234497853,Site38,2021
3,507000,0.191282887,Site38,2007
4,236066,0.240177324,Site38,2009
5,455000,0.197280459,Site38,2021
6,126626,0.233052551,Site38,2004
7,177893,0.209592232,Site38,2009
8,117242,0.199164619,Site38,1987
9,92054,0.121867176,Site38,2011
10,258245,0.234711992,Site38,2003
11,253620,0.218828185,Site38,2008
12,216302,0.236234674,Site38,2004
13,236939,0.249271925,Site38,2004
14,239700,0.231758445,Site38,2020
15,237963,0.187115095,Site38,2013
16,106146,0.250816645,Site38,1998
17,331500,0.20997133,Site38,2021
18,92900,0.212071154,Site38,1994
19,193488,0.212071602,Site38,2014
20,211650,0.224669182,Site38,2020
21,99302,0.224670948,Site38,1993
22,279000,0.20997188,Site38,2006
23,96551,0.205036508,Site38,0
24,207620,0.234481894,Site38,2022
25,303229,0.230246874,Site38,2014
26,106141,0.221719256,Site38,1991
27,109479,0.269741023,Site38,1991
28,95545,0.265422855,Site38,2001
29,177386,0.244517071,Site38,2019
30,244021,0.306214017,Site38,2015
31,1200000,1.978319148,Site38,2023
32,336640,0.249463877,Site38,2023
33,229301,0.207506444,Site38,2020
34,112968,0.185818336,Site38,1999
35,203128,0.255709197,Site38,1990
36,92087,0.185805289,Site38,1996
37,191914,0.214506917,Site38,2003
38,215574,0.203924105,Site38,2002
39,114065,0.185895861,Site38,1986
40,295644,0.195027043,Site38,2018
41,183857,0.185917995,Site38,2003
42,322053,0.09981057,Site38,2020
43,90792,0.200639193,Site38,0
44,94973,0.21768584,Site38,0
45,169968,0.342179154,Site38,1991
46,295903,0.210757105,Site38,2022
47,240119,0.267860826,Site38,2003
48,99540,0.231129221,Site38,1999
49,502186,1.781417477,Site38,1975
50,201136,0.207526763,Site38,2008
51,145921,0.206714123,Site38,2013
52,273302,0.223759842,Site38,2016
53,121246,0.238977285,Site38,1996
54,147676,0.304553688,Site38,2001
55,329781,0.200675503,Site38,2019
56,63641,0.193215741,Site38,2021
57,260773,0.365756113,Site38,2022
58,440000,0.274856905,Site38,2021
59,162983,0.304184511,Site38,2011
60,95703,0.304183005,Site38,1985
61,200960,0.184958718,Site38,2019
62,503000,0.18902544,Site38,2006
63,235884,0.247096322,Site38,2018
64,219946,0.225396681,Site38,2008
65,166165,0.226537737,Site38,2003
66,211276,0.257340373,Site38,2010
67,293712,0.226443718,Site38,2020
68,75232,0.189479342,Site38,1997
69,136115,0.075441159,Site38,2011
70,315180,0.236466344,Site38,2021
71,191388,0.232367395,Site38,2016
72,250669,0.355477484,Site38,2013
73,309441,0.237171897,Site38,2008
74,101291,0.262094199,Site38,0
75,224097,0.219316178,Site38,2006
76,189698,0.186281457,Site38,2014
77,251518,0.186106893,Site38,2011
78,249352,0.232488508,Site38,2002
79,311944,0.221276321,Site38,2003
