"Site","weighted_avarage_land_V"
"Site01",1143931.38793295
"Site03",997686.158575681
"Site04",1253514.85358874
"Site05",395084.037450783
"Site07",464340.042232266
"Site08",590272.43518036
"Site09",319594.754631814
"Site10",311506.518842066
"Site11",8558398.79364027
"Site12",461100.09519511
"Site13",508037.704346464
"Site14",273793.340626594
"Site15",142383.032297656
"Site16",1033310.97517731
"Site17",271205.290337423
"Site18",1338042.72006218
"Site19",782662.975547671
"Site20",1159728.59714873
"Site21",514087.092223483
"Site22",507364.549009091
"Site23",395381.468407913
"Site24",377115.162617208
"Site25",293225.998076919
"Site26",855898.149553896
"Site27",299401.711150975
"Site28",354637.955506179
"Site29",346279.135269068
"Site31",2807041.91725121
"Site32",962195.023480425
"Site33",515606.885626539
"Site34",310118.700968309
"Site35",480075.584790862
"Site36",317794.147818348
"Site37",280565.437311122
"Site38",596905.270316847
"Site39",104556.493770876
"Site40",676839.206188657
"Site41",265395.592130051
"Site42",333136.497127539
"Site43",379135.399104059
"Site44",342298.330112612
"Site45",420583.669496272
"Site48",208365.6495108
"Site49",223695.108774552
"Site50",439507.279669833
"Site51",293965.348703582
"Site52",365289.217290153
"Site53",815171.409260974
"Site54",383159.067764023
"Site55",593199.781252955
"Site56",312975.507692553
"Site57",601557.857853472
"Site58",317314.714985427
"Site59",170506.257710088
"Site60",658760.538006721
"Site61",4852695.58014695
"Site62",577813.152831394
"Site63",274805.642293767
