,Genus_species,Class,Order,Family,Genus,epithet,Species,Notes,Level_of_identification,Original_names_1,Original_names_2,Original_names_3
1,Abrhexosa_grossa,Insecta,Diptera,Scatopsidae,Abrhexosa,grossa,Abrhexosa grossa,NA,Species,Abrhexosa grossa,NA,NA
2,Acnemia_comata,Insecta,Diptera,Mycetophilidae,Acnemia,comata,Acnemia comata,NA,Species,Acnemia comata,NA,NA
3,Acnemia_sp,Insecta,Diptera,Mycetophilidae,Acnemia,NA,Acnemia,NA,Genus,Acnemia sp.,NA,NA
4,Aenigmatias_sp,Insecta,Diptera,Phoridae,Aenigmatias,NA,Aenigmatias,NA,Genus,Aenigmatias,NA,NA
5,Agapostemon_sp,Insecta,Diptera,Halictidae,Agapostemon,NA,Agapostemon,NA,Genus,Agapostemon sp.,NA,NA
6,Agelenidae,Arachnida,Araneae,Agelenidae,NA,NA,NA,NA,Family,Agelenidae,NA,NA
7,Agelenopsis_aperta,Arachnida,Araneae,Agelenidae,Agelenopsis,aperta,Agelenopsis aperta,NA,Species,Agelenopsis aperta,NA,NA
8,Agraulis_vanillae,Insecta,Lepidoptera,Nymphalidae,Agraulis,vanillae,Agraulis vanillae,NA,Species,Agraulis vanillae,NA,NA
9,Allograpta_exotica,Insecta,Diptera,Syrphidae,Allograpta,exotica,Allograpta exotica,NA,Species,Allograpta exotica,NA,NA
10,Allograpta_obliqua,Insecta,Diptera,Syrphidae,Allograpta,obliqua,Allograpta obliqua,NA,Species,Allograpta obliqua,NA,NA
11,Amaurobiidae,Arachnida,Araneae,Amaurobiidae,NA,NA,NA,NA,Family,Amaurobiidae,NA,NA
12,Amiota_picta,Insecta,Diptera,Drosophilidae,Amiota,picta,Amiota picta,NA,Species,Amiota picta,NA,NA
13,Andrena_sp,Insecta,Hymenoptera,Andrenidae,Andrena,NA,Andrena,NA,Genus,Andrena sp.,NA,NA
14,Anevrina_sp,Insecta,Diptera,Phoridae,Anevrina,NA,Anevrina,NA,Genus,Anevrina,Anevrina sp,NA
15,Anevrina_variabilis,Insecta,Diptera,Phoridae,Anevrina,variabilis,Anevrina variabilis,NA,Species,Anevrina variabilis,NA,NA
16,Anthidium_sp,Insecta,Hymenoptera,Megachilidae,Anthidium,NA,Anthidium,NA,Genus,Anthidium sp.,NA,NA
17,Anthophora_californica,Insecta,Hymenoptera,Apidae,Anthophora,californica,Anthophora californica,NA,Species,Anthophora californica,NA,NA
18,Anthophora_sp,Insecta,Hymenoptera,Apidae,Anthophora,NA,Anthophora,NA,Genus,Anthophora sp.,NA,NA
19,Anthophora_urbana,Insecta,Hymenoptera,Apidae,Anthophora,urbana,Anthophora urbana,NA,Species,Anthophora urbana,NA,NA
20,Anyphaena_californica,Arachnida,Araneae,Anyphaenidae,Anyphaena,californica,Anyphaena californica,NA,Species,A. californica,NA,NA
21,Anyphaenidae,Arachnida,Araneae,Anyphaenidae,NA,NA,NA,NA,Family,Anyphaenidae,NA,NA
22,Apis_mellifera,Insecta,Hymenoptera,Apidae,Apis,mellifera,Apis mellifera,NA,Species,Apis mellifera,NA,NA
23,Apocephalus_aquilonius,Insecta,Diptera,Phoridae,Apocephalus,aquilonius,Apocephalus aquilonius,NA,Species,Apocephalus aquilonius,NA,NA
24,Apocephalus_grandipalpis_group,Insecta,Diptera,Phoridae,Apocephalus,NA,Apocephalus,NA,Genus,Apo grandipalpis group,Apocephalus grandipalpis group,NA
25,Araneae,Arachnida,Araneae,NA,NA,NA,NA,NA,Order,Unidentified Spider,NA,NA
26,Araneidae,Arachnida,Araneae,Araneidae,NA,NA,NA,NA,Family,Araneidae,NA,NA
27,Araneus_sp,Arachnida,Araneae,Araneidae,Araneus,NA,Araneus,NA,Genus,Araneus sp.,NA,NA
28,Ashmeadiella_sp,Insecta,Hymenoptera,Megachilidae,Ashmeadiella,NA,Ashmeadiella,NA,Genus,Ashmeadiella sp.,NA,NA
29,Autographa_californica,Insecta,Lepidoptera,Noctuidae,Autographa,californica,Autographa californica,NA,Species,Autographa californica,NA,NA
