,Site01,Site03,Site04,Site05,Site06,Site07,Site08,Site09,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63
2013-01-01,48.18,48.44,46.45,48.25,46.41,48.14,48.3,48.09,48.27,48.12,48.35,47.6,48.22,48.74,47.02,43.72,48.3,47.2,46.57,44.61,48.3,48.04,47.69,48.41,48.33,48.0,47.81,47.84,47.82,48.35,47.82,42.78,47.09,46.34,47.42,46.24,42.83,43.18,49.13,48.74,48.77,48.79,47.97,47.29,47.44,43.36,47.41,45.02,46.4,48.29,47.86,48.09,46.49,49.64,48.71,47.26,48.28,48.73,45.66,45.9,46.91,48.69
2013-01-02,54.34,53.84,52.44,53.7,52.42,53.58,54.44,53.52,54.42,54.26,54.48,53.11,53.61,54.56,53.11,49.8,54.41,53.31,52.55,50.52,53.72,53.49,53.15,53.81,54.46,53.43,53.26,53.25,53.23,54.46,54.02,48.62,52.47,50.88,51.31,49.72,46.65,47.21,55.24,54.56,54.29,53.71,52.25,51.46,52.02,47.43,53.46,51.7,52.39,54.47,53.34,54.07,53.32,54.9,54.55,53.2,54.44,54.53,51.7,52.17,52.88,53.98
2013-01-03,56.38,56.49,54.18,56.28,54.15,56.18,56.45,56.14,56.43,56.28,56.48,55.67,56.28,56.97,54.65,51.34,56.42,54.84,54.3,52.13,56.34,56.08,55.77,56.45,56.46,56.05,55.87,55.92,55.9,56.46,55.37,51.16,55.36,54.07,54.39,52.58,49.46,50.12,57.14,56.97,57.25,56.84,55.4,54.45,54.98,50.34,54.82,52.66,53.92,56.46,55.89,55.63,54.02,57.55,56.93,54.81,56.44,56.98,52.75,53.15,54.46,56.86
2013-01-04,53.21,53.14,51.67,52.87,51.65,52.77,53.3,52.75,53.29,53.03,53.31,52.24,52.94,54.52,52.36,49.53,53.2,52.62,51.79,50.13,52.96,52.66,52.42,53.1,53.27,52.67,52.49,52.58,52.57,53.26,53.61,49.84,53.22,52.35,51.97,49.98,48.2,48.94,54.36,54.52,54.61,54.24,52.96,52.01,52.63,49.13,53.04,51.3,51.58,53.37,52.44,53.47,53.3,54.67,54.45,52.43,53.31,54.49,51.36,51.77,52.09,53.65
2013-01-05,52.18,52.29,50.92,52.09,50.9,52.0,52.28,51.97,52.26,52.08,52.32,51.56,52.11,53.24,51.53,49.14,52.24,51.73,51.03,49.67,52.15,51.91,51.69,52.25,52.29,51.9,51.75,51.82,51.81,52.3,52.44,49.43,52.16,51.62,51.47,50.02,48.46,48.96,53.09,53.24,53.21,52.91,52.1,51.39,51.73,49.1,52.0,50.11,50.87,52.31,51.73,52.47,52.11,53.39,53.2,51.62,52.28,53.22,50.59,50.95,51.32,52.6
2013-01-06,45.72,46.28,43.87,45.99,43.83,45.86,45.82,45.81,45.8,45.62,45.88,45.17,46.02,46.66,44.34,40.99,45.82,44.54,44.01,41.96,46.08,45.73,45.33,46.23,45.86,45.71,45.46,45.53,45.51,45.88,44.98,41.04,45.47,44.64,45.89,44.77,41.4,41.73,46.57,46.66,47.05,47.46,46.49,45.73,45.77,41.9,44.56,42.86,43.58,45.82,45.48,45.48,43.79,47.67,46.6,44.64,45.81,46.68,43.21,43.37,44.22,46.78
2013-01-07,53.14,52.96,51.37,52.85,51.33,52.71,53.3,52.63,53.25,53.13,53.36,52.16,52.69,52.98,52.07,48.51,53.33,52.24,51.49,49.48,52.84,52.62,52.16,52.93,53.35,52.52,52.32,52.27,52.24,53.39,52.69,46.73,50.79,49.47,50.46,49.07,45.7,46.23,53.96,52.98,52.86,52.38,51.28,50.57,51.07,46.45,52.26,50.46,51.48,53.28,52.47,53.01,51.16,54.09,52.99,52.32,53.28,52.95,50.67,50.81,51.99,52.93
2013-01-08,61.01,60.67,59.56,60.56,59.55,60.52,61.06,60.5,61.06,60.92,61.06,60.33,60.58,61.71,60.1,57.88,61.0,60.27,59.62,58.17,60.6,60.47,60.4,60.65,61.04,60.47,60.41,60.45,60.45,61.03,61.08,57.98,60.2,59.32,59.36,58.14,55.63,56.2,61.82,61.7,61.72,60.94,60.11,59.61,60.28,56.41,60.58,59.67,59.51,61.1,60.38,60.83,61.44,61.27,61.69,60.01,61.06,61.67,59.2,59.9,59.82,60.84
2013-01-09,58.52,58.64,57.5,58.51,57.49,58.44,58.58,58.42,58.56,58.47,58.61,58.14,58.51,59.19,57.84,56.01,58.58,57.97,57.58,56.4,58.55,58.38,58.23,58.62,58.6,58.37,58.27,58.31,58.3,58.61,58.11,56.12,58.36,57.75,57.86,57.02,54.71,54.92,58.83,59.19,59.12,58.93,58.26,57.76,57.83,55.04,57.79,56.92,57.32,58.58,58.25,58.35,57.74,59.17,59.18,57.9,58.57,59.2,56.83,57.05,57.67,58.85
2013-01-10,45.56,46.42,43.26,46.08,43.23,46.0,45.64,45.98,45.64,45.41,45.66,45.35,46.23,46.97,43.8,40.0,45.56,44.03,43.39,41.07,46.22,45.88,45.58,46.37,45.63,45.9,45.67,45.8,45.78,45.62,45.03,40.6,45.51,45.25,46.89,45.87,41.21,41.39,46.85,46.96,47.15,47.94,47.27,46.44,46.13,41.57,44.5,42.74,43.11,45.7,45.62,45.16,43.68,48.26,46.83,44.09,45.65,46.97,42.78,43.06,43.7,47.13
