,Site01,Site03,Site04,Site05,Site06,Site07,Site08,Site09,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63
2013-01-01,61.14,61.22,61.8,61.74,61.78,62.36,61.41,61.57,61.39,62.09,61.95,59.86,62.3,61.16,62.0,59.32,62.27,61.73,61.84,61.39,62.23,61.54,60.55,61.54,61.62,61.6,61.6,60.65,60.64,62.29,61.59,59.13,62.84,61.0,60.52,59.77,55.45,58.4,61.48,61.19,61.53,63.02,62.96,58.59,58.94,58.41,59.7,55.97,61.47,61.54,61.52,60.77,56.85,61.27,61.56,61.53,61.42,61.32,56.4,54.89,61.56,61.56
2013-01-02,64.79,64.66,66.73,66.6,66.71,66.9,64.32,65.78,64.38,65.88,65.19,64.94,66.73,65.3,66.52,64.55,66.06,65.72,66.79,66.52,66.7,65.77,65.03,65.34,65.7,65.83,65.89,65.07,65.09,66.07,64.62,64.34,66.69,64.9,64.12,63.67,59.41,64.97,63.74,65.29,68.62,69.6,68.47,63.97,66.44,65.09,65.52,63.02,66.27,64.12,65.8,66.45,63.88,64.68,64.53,66.56,64.32,64.75,62.51,61.85,66.31,66.52
2013-01-03,70.96,70.94,72.55,72.29,72.48,72.18,70.85,71.26,70.87,72.33,71.49,69.05,71.88,70.58,73.16,69.44,72.52,71.53,72.61,72.74,72.06,71.34,68.62,71.65,71.46,71.16,70.99,68.74,68.7,72.53,70.49,66.25,70.69,68.23,69.11,68.43,64.22,68.28,70.23,70.63,70.94,71.81,71.79,67.73,69.13,68.34,68.76,63.4,73.21,70.81,71.38,71.22,64.45,70.63,70.81,72.65,70.85,70.85,64.84,62.45,73.12,70.66
2013-01-04,67.85,67.77,68.44,68.4,68.42,68.82,67.6,67.82,67.58,68.82,68.36,66.02,68.69,66.15,68.84,65.87,68.96,68.49,68.5,67.92,68.76,67.8,66.1,68.11,68.43,67.8,67.74,66.21,66.2,68.98,67.82,64.35,68.53,66.95,67.82,66.3,64.37,65.23,66.44,66.18,66.69,68.02,69.08,65.72,65.65,65.27,67.1,65.22,68.13,67.29,67.76,67.68,65.58,66.38,66.91,68.12,67.56,66.73,64.18,64.36,68.21,67.39
2013-01-05,66.36,66.0,67.38,67.39,67.37,68.0,65.1,67.05,65.2,66.67,65.78,65.5,67.95,63.46,67.09,65.04,66.66,65.97,67.42,66.53,67.92,67.0,65.97,66.36,66.28,67.09,67.1,66.05,66.06,66.64,64.35,64.76,68.68,66.94,67.44,66.03,64.05,64.45,62.81,63.52,65.76,67.48,68.6,64.85,64.39,64.46,66.29,65.41,66.35,64.36,66.96,66.34,65.66,63.46,64.31,66.68,65.05,64.15,63.92,64.64,66.63,66.91
2013-01-06,58.72,58.57,58.68,58.84,58.71,58.87,58.19,58.09,58.23,58.59,58.54,55.87,58.82,57.63,58.25,55.92,58.57,58.25,58.69,57.09,58.88,58.04,56.04,58.68,58.45,58.16,58.33,56.01,56.1,58.57,57.61,54.05,57.39,57.18,58.13,55.7,52.55,55.21,57.48,57.64,58.14,58.09,60.05,55.68,56.67,55.36,57.65,54.71,56.77,57.89,58.02,57.41,55.2,57.72,58.04,57.4,58.17,57.89,53.78,53.79,57.23,57.33
2013-01-07,68.78,68.69,70.32,70.06,70.28,69.27,68.47,69.83,68.42,69.58,68.6,67.99,69.07,65.38,70.0,68.7,69.6,68.37,70.28,70.94,69.17,69.98,66.56,68.35,68.47,69.76,69.7,66.59,66.6,69.58,68.16,64.1,67.43,62.78,64.47,65.07,60.23,65.1,65.89,65.5,67.85,67.1,65.47,63.56,65.01,65.1,66.78,63.71,71.08,67.98,70.11,67.65,64.14,64.87,67.02,70.24,68.4,65.96,65.03,62.55,71.01,67.68
2013-01-08,72.13,71.64,74.71,74.6,74.7,74.61,70.42,73.65,70.56,72.74,71.46,73.24,74.42,67.66,73.91,73.12,72.75,71.57,74.74,74.36,74.41,73.66,73.2,72.26,72.0,73.71,73.83,73.16,73.2,72.71,69.29,73.06,74.12,73.51,73.75,72.68,69.75,71.01,67.42,67.76,69.12,71.39,73.03,70.85,69.87,70.96,74.29,73.74,73.85,69.47,73.72,73.67,74.25,68.08,69.31,74.5,70.35,69.08,72.63,72.32,74.22,71.39
2013-01-09,68.47,68.2,69.93,69.9,69.92,69.88,67.52,68.9,67.53,69.41,68.47,68.39,69.72,66.43,69.87,68.42,69.52,69.05,69.97,69.26,69.79,68.89,67.94,68.58,69.11,68.92,69.0,67.93,67.96,69.53,67.52,67.77,69.65,70.52,73.36,72.7,69.92,70.04,65.32,66.36,68.04,69.36,72.09,70.67,69.2,69.98,69.54,69.82,69.11,66.68,68.9,69.47,69.65,66.56,66.1,69.66,67.42,66.89,67.6,68.86,69.39,67.99
2013-01-10,59.04,59.07,57.81,58.14,57.93,59.09,59.13,59.65,59.11,57.84,58.23,57.61,59.35,59.8,56.7,56.65,57.65,57.1,57.68,56.19,58.93,59.53,59.1,58.46,57.36,59.93,60.43,58.97,59.15,57.64,57.39,57.37,60.13,60.16,59.19,56.13,52.81,54.5,59.36,59.73,59.91,59.67,62.06,56.64,56.61,54.64,57.07,54.49,55.61,59.12,59.58,54.49,56.83,59.74,58.88,55.3,59.12,59.53,53.73,54.32,55.74,58.64
