,Site01,Site03,Site04,Site05,Site06,Site07,Site08,Site09,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63
2013-01-01,43.16,43.23,39.2,39.81,39.28,40.22,43.39,39.65,43.41,41.3,42.83,38.36,40.56,42.2,40.02,38.12,41.17,42.64,39.25,36.84,40.67,39.42,39.16,43.22,42.67,39.68,39.75,39.19,39.25,41.21,42.73,39.04,41.28,39.8,39.18,37.29,34.66,37.9,42.89,42.38,42.0,42.2,42.38,39.15,40.12,38.02,36.62,35.33,36.88,43.67,39.18,40.37,35.38,42.24,43.66,37.66,43.43,42.87,35.0,35.13,36.87,42.52
2013-01-02,40.59,40.93,40.26,40.47,40.29,40.1,41.75,38.68,41.63,41.46,42.99,39.07,40.05,40.99,41.77,39.0,41.85,44.65,40.35,39.14,40.18,38.57,38.19,42.13,43.76,38.76,38.95,38.12,38.22,41.97,44.7,38.81,40.11,37.86,40.64,39.37,35.87,43.0,42.15,41.07,40.86,43.87,45.03,43.8,45.91,43.12,47.41,47.4,39.26,42.3,38.51,45.42,48.03,41.16,41.47,40.84,41.77,41.39,46.56,47.6,39.21,41.14
2013-01-03,39.71,40.13,40.34,40.53,40.38,40.57,41.15,38.75,40.97,41.41,42.97,40.05,40.5,40.46,42.06,39.38,41.98,45.91,40.42,39.0,40.45,38.6,39.48,41.77,44.58,38.96,39.34,39.34,39.48,42.14,45.83,41.68,42.24,42.37,44.49,42.1,39.68,43.78,41.3,40.52,41.06,43.06,45.87,44.46,44.82,43.91,44.8,44.79,39.07,41.67,38.59,46.8,44.33,40.43,40.59,40.6,41.14,40.53,45.27,44.74,38.8,41.61
2013-01-04,43.73,44.15,40.08,40.68,40.16,41.07,45.15,39.71,45.01,43.29,45.4,39.75,41.32,42.89,42.17,39.38,43.53,46.78,40.18,37.62,41.46,39.45,40.22,44.82,45.97,39.78,39.92,40.2,40.28,43.66,47.25,41.82,42.92,43.19,42.86,38.6,38.29,40.54,44.27,43.14,42.47,41.55,43.39,40.8,41.49,40.69,39.57,39.16,38.03,45.8,39.21,44.61,38.69,42.65,44.61,39.33,45.18,43.72,38.22,38.66,37.88,44.03
2013-01-05,41.48,41.78,39.74,40.12,39.8,40.43,42.48,39.05,42.32,41.95,43.13,39.6,40.49,40.13,41.52,39.36,42.25,44.51,39.8,38.1,40.56,38.89,39.71,42.6,43.74,39.16,39.38,39.62,39.71,42.36,44.2,41.16,41.4,42.11,42.59,40.08,39.02,40.86,41.05,40.29,39.94,41.51,44.36,41.84,41.91,40.97,36.33,36.05,38.47,42.68,38.77,42.38,35.67,40.31,41.54,38.7,42.44,40.99,34.35,35.34,37.85,41.41
2013-01-06,46.12,46.16,44.58,44.75,44.62,44.78,46.26,45.3,46.31,44.87,45.34,43.31,44.94,47.08,44.3,43.29,44.7,44.65,44.55,43.73,44.92,45.26,43.23,45.8,44.87,45.31,45.33,43.28,43.32,44.68,45.08,41.13,44.78,41.15,41.21,40.3,36.85,40.46,46.9,47.12,46.91,46.42,45.16,41.94,42.69,40.55,41.48,40.78,43.67,46.58,45.21,43.38,40.49,46.91,46.89,43.66,46.32,46.97,42.25,40.93,43.86,46.08
2013-01-07,44.71,45.13,43.92,43.95,43.92,42.95,46.18,43.22,46.0,45.26,46.24,41.87,42.92,44.23,44.88,42.51,45.47,46.71,43.92,43.96,43.09,43.26,40.65,45.07,46.08,43.18,43.18,40.64,40.69,45.55,48.03,38.84,41.21,37.35,38.89,37.86,34.28,39.29,46.41,44.34,41.55,42.12,41.2,39.93,40.55,39.35,43.51,42.82,44.31,46.71,43.28,45.24,42.86,44.86,45.94,44.33,46.18,45.07,43.72,42.94,43.98,42.57
2013-01-08,43.49,43.78,45.75,45.66,45.75,45.55,44.48,43.65,44.36,45.88,46.19,45.56,45.21,43.12,46.64,45.45,46.42,48.56,45.79,45.42,45.23,43.64,44.2,45.25,47.54,43.81,44.13,44.02,44.13,46.53,48.19,46.05,45.66,44.29,46.15,44.12,42.12,45.46,44.11,43.23,43.32,45.33,46.45,45.42,46.2,45.53,46.34,47.21,45.39,44.82,43.75,49.0,47.05,43.42,44.08,45.54,44.47,43.74,45.42,46.63,44.81,44.86
2013-01-09,46.35,46.57,46.17,46.33,46.21,46.26,47.07,45.87,46.98,46.63,47.44,45.54,46.29,45.95,46.69,45.29,46.8,47.76,46.15,45.41,46.21,45.81,46.0,47.06,47.35,46.02,46.31,45.87,45.98,46.87,47.68,46.25,46.76,47.52,47.59,44.86,44.01,44.12,46.73,46.03,45.76,46.49,48.53,45.41,44.71,44.16,44.36,43.7,45.34,47.32,45.83,46.99,43.35,46.08,46.51,45.57,47.06,46.41,44.88,43.75,45.03,46.2
2013-01-10,45.38,45.58,41.88,42.46,42.0,43.07,46.07,43.6,46.03,43.24,45.14,41.78,43.58,47.1,42.15,40.78,43.07,44.1,41.84,39.69,43.33,43.37,41.99,45.32,44.14,43.79,44.09,42.01,42.16,43.12,44.64,40.99,44.85,41.72,41.21,39.9,34.84,40.52,47.14,47.09,45.84,45.91,46.57,41.54,44.07,40.7,40.97,39.52,39.47,46.54,43.22,41.71,40.15,47.06,46.28,40.26,46.11,46.89,39.76,39.83,39.5,44.7
2013-01-11,43.94,43.88,39.73,40.3,39.82,41.23,43.72,41.33,43.81,41.35,42.53,38.84,41.68,43.58,39.87,38.26,41.01,41.29,39.75,37.38,41.65,41.1,39.03,43.36,41.78,41.34,41.33,39.2,39.24,40.98,41.51,36.55,42.08,34.9,33.87,31.92,27.96,32.98,43.92,43.67,41.71,40.62,38.45,34.35,34.95,33.09,34.76,33.46,37.38,43.92,40.85,38.43,33.22,43.71,44.09,37.65,43.77,44.08,33.85,33.38,37.61,43.1
