"Phase","Site","Year","Month","Collection days","start_date","end_date","id"
"01","01",2014,"01",7,2014-01-01,2014-01-07,"14_01_01_01"
"01","01",2014,"02",9,2014-02-01,2014-02-09,"14_02_01_01"
"01","01",2014,"03",7,2014-03-01,2014-03-07,"14_03_01_01"
"01","01",2014,"04",7,2014-04-01,2014-04-07,"14_04_01_01"
"01","01",2014,"05",7,2014-05-01,2014-05-07,"14_05_01_01"
"01","01",2014,"06",7,2014-06-01,2014-06-07,"14_06_01_01"
"01","01",2014,"07",7,2014-07-01,2014-07-07,"14_07_01_01"
"01","01",2014,"08",7,2014-08-01,2014-08-07,"14_08_01_01"
"01","01",2014,"09",7,2014-09-01,2014-09-07,"14_09_01_01"
"01","01",2014,"10",7,2014-10-01,2014-10-07,"14_10_01_01"
"01","01",2014,"11",7,2014-11-01,2014-11-07,"14_11_01_01"
"01","01",2014,"12",7,2014-12-01,2014-12-07,"14_12_01_01"
"01","03",2014,"01",7,2014-01-01,2014-01-07,"14_01_01_03"
"01","03",2014,"02",7,2014-02-01,2014-02-07,"14_02_01_03"
"01","03",2014,"03",7,2014-03-01,2014-03-07,"14_03_01_03"
"01","03",2014,"04",7,2014-04-01,2014-04-07,"14_04_01_03"
"01","03",2014,"05",7,2014-05-01,2014-05-07,"14_05_01_03"
"01","03",2014,"06",7,2014-06-01,2014-06-07,"14_06_01_03"
"01","03",2014,"07",7,2014-07-01,2014-07-07,"14_07_01_03"
"01","03",2014,"08",7,2014-08-01,2014-08-07,"14_08_01_03"
"01","03",2014,"09",7,2014-09-01,2014-09-07,"14_09_01_03"
"01","03",2014,"10",7,2014-10-01,2014-10-07,"14_10_01_03"
"01","03",2014,"11",7,2014-11-01,2014-11-07,"14_11_01_03"
"01","03",2014,"12",7,2014-12-01,2014-12-07,"14_12_01_03"
"01","04",2014,"01",9,2014-01-01,2014-01-09,"14_01_01_04"
"01","04",2014,"02",7,2014-02-01,2014-02-07,"14_02_01_04"
"01","04",2014,"03",14,2014-03-01,2014-03-14,"14_03_01_04"
"01","04",2014,"04",6,2014-04-01,2014-04-06,"14_04_01_04"
"01","04",2014,"05",10,2014-05-01,2014-05-10,"14_05_01_04"
"01","04",2014,"06",14,2014-06-01,2014-06-14,"14_06_01_04"
"01","04",2014,"07",7,2014-07-01,2014-07-07,"14_07_01_04"
"01","04",2014,"08",7,2014-08-01,2014-08-07,"14_08_01_04"
"01","04",2014,"09",7,2014-09-01,2014-09-07,"14_09_01_04"
"01","04",2014,"10",7,2014-10-01,2014-10-07,"14_10_01_04"
"01","04",2014,"11",7,2014-11-01,2014-11-07,"14_11_01_04"
"01","04",2014,"12",7,2014-12-01,2014-12-07,"14_12_01_04"
"01","05",2014,"01",7,2014-01-01,2014-01-07,"14_01_01_05"
"01","05",2014,"02",7,2014-02-01,2014-02-07,"14_02_01_05"
"01","05",2014,"03",7,2014-03-01,2014-03-07,"14_03_01_05"
"01","05",2014,"04",7,2014-04-01,2014-04-07,"14_04_01_05"
"01","05",2014,"05",7,2014-05-01,2014-05-07,"14_05_01_05"
"01","05",2014,"06",7,2014-06-01,2014-06-07,"14_06_01_05"
"01","05",2014,"07",7,2014-07-01,2014-07-07,"14_07_01_05"
"01","05",2014,"08",7,2014-08-01,2014-08-07,"14_08_01_05"
"01","05",2014,"09",7,2014-09-01,2014-09-07,"14_09_01_05"
"01","05",2014,"10",7,2014-10-01,2014-10-07,"14_10_01_05"
"01","05",2014,"11",7,2014-11-01,2014-11-07,"14_11_01_05"
"01","05",2014,"12",7,2014-12-01,2014-12-07,"14_12_01_05"
"01","06",2014,"01",4,2014-01-01,2014-01-04,"14_01_01_06"
"01","06",2014,"02",7,2014-02-01,2014-02-07,"14_02_01_06"
"01","06",2014,"03",8,2014-03-01,2014-03-08,"14_03_01_06"
"01","06",2014,"04",16,2014-04-01,2014-04-16,"14_04_01_06"
"01","06",2014,"05",6,2014-05-01,2014-05-06,"14_05_01_06"
"01","06",2014,"06",7,2014-06-01,2014-06-07,"14_06_01_06"
"01","06",2014,"07",7,2014-07-01,2014-07-07,"14_07_01_06"
"01","06",2014,"08",7,2014-08-01,2014-08-07,"14_08_01_06"
"01","06",2014,"09",6,2014-09-01,2014-09-06,"14_09_01_06"
"01","06",2014,"10",8,2014-10-01,2014-10-08,"14_10_01_06"
"01","06",2014,"11",7,2014-11-01,2014-11-07,"14_11_01_06"
"01","06",2014,"12",7,2014-12-01,2014-12-07,"14_12_01_06"
"01","07",2014,"01",7,2014-01-01,2014-01-07,"14_01_01_07"
"01","07",2014,"02",7,2014-02-01,2014-02-07,"14_02_01_07"
"01","07",2014,"03",7,2014-03-01,2014-03-07,"14_03_01_07"
"01","07",2014,"04",7,2014-04-01,2014-04-07,"14_04_01_07"
